compound,ABL1,ABL2_ARG,ACK1,AKT1,AKT2,AKT3,ALK,ALK1_ACVRL1,ALK2_ACVR1,ALK4_ACVR1B,ALK5_TGFBR1,ARAF,ARK5_NUAK1,ASK1_MAP3K5,AURORA_A,AURORA_B,AURORA_C,AXL,BLK,BMX_ETK,BRAF,BRK,BRSK1,BRSK2,BTK,C_KIT,C_MER,C_MET,C_SRC,CAMK1A,CAMK1B,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CDK1_CYCLIN_A,CDK1_CYCLIN_B,CDK2_CYCLIN_A,CDK2_CYCLIN_E,CDK3_CYCLIN_E,CDK4_CYCLIN_D1,CDK4_CYCLIN_D3,CDK5_P25,CDK5_P35,CDK6_CYCLIN_D1,CDK6_CYCLIN_D3,CDK7_CYCLIN_H,CDK9_CYCLIN_K,CDK9_CYCLIN_T1,CHK1,CHK2,CK1A1,CK1D,CK1EPSILON,CK1G1,CK1G2,CK1G3,CK2A,CK2A2,CLK1,CLK2,CLK3,CLK4,COT1_MAP3K8,CSK,CTK_MATK,DAPK1,DAPK2,DCAMKL2,DDR2,DMPK,DRAK1_STK17A,DYRK1_DYRK1A,DYRK1B,DYRK2,DYRK3,DYRK4,EGFR,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,ERBB2_HER2,ERBB4_HER4,ERK1,ERK2_MAPK1,FAK_PTK2,FER,FES_FPS,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1_VEGFR1,FLT3,FLT4_VEGFR3,FMS,FRK_PTK5,FYN,GCK_MAP4K2,GRK2,GRK3,GRK4,GRK5,GRK6,GRK7,GSK3A,GSK3B,HASPIN,HCK,HGK_MAP4K4,HIPK1,HIPK2,HIPK3,HIPK4,IGF1R,IKKA_CHUK,IKKB_IKBKB,IKKE_IKBKE,IR,IRAK1,IRAK4,IRR_INSRR,ITK,JAK1,JAK2,JAK3,JNK1,JNK2,JNK3,KDR_VEGFR2,KHS_MAP4K5,LCK,LIMK1,LKB1,LOK_STK10,LRRK2,LYN,LYN_B,MAPKAPK2,MAPKAPK3,MAPKAPK5_PRAK,MARK1,MARK2_PAR_1BA,MARK3,MARK4,MEK1,MEK2,MEKK2,MEKK3,MELK,MINK_MINK1,MKK6,MLCK_MYLK,MLCK2_MYLK2,MLK1_MAP3K9,MLK2_MAP3K10,MLK3_MAP3K11,MNK1,MNK2,MRCKA_CDC42BPA,MRCKB_CDC42BPB,MSK1_RPS6KA5,MSK2_RPS6KA4,MSSK1_STK23,MST1_STK4,MST2_STK3,MST3_STK24,MST4,MUSK,MYO3B,NEK1,NEK11,NEK2,NEK3,NEK4,NEK6,NEK7,NEK9,NLK,OSR1_OXSR1,P38A_MAPK14,P38B_MAPK11,P38D_MAPK13,P38G,P70S6K_RPS6KB1,P70S6KB_RPS6KB2,PAK1,PAK2,PAK3,PAK4,PAK5,PAK6,PASK,PBK_TOPK,PDGFRA,PDGFRB,PDK1_PDPK1,PHKG1,PHKG2,PIM1,PIM2,PIM3,PKA,PKACG,PKCA,PKCB1,PKCB2,PKCD,PKCEPSILON,PKCETA,PKCG,PKCIOTA,PKCMU_PRKD1,PKCNU_PRKD3,PKCTHETA,PKCZETA,PKD2_PRKD2,PKG1A,PKG1B,PKG2_PRKG2,PKN1_PRK1,PKN2_PRK2,PLK1,PLK2,PLK3,PRKX,PYK2,RAF1,RET,RIPK2,RIPK5,ROCK1,ROCK2,RON_MST1R,ROS_ROS1,RSK1,RSK2,RSK3,RSK4,SGK1,SGK2,SGK3_SGKL,SIK2,SLK_STK2,SNARK_NUAK2,SRMS,SRPK1,SRPK2,STK16,STK22D_TSSK1,STK25_YSK1,STK33,STK38_NDR1,STK39_STLK3,SYK,TAK1,TAOK1,TAOK2_TAO1,TAOK3_JIK,TBK1,TEC,TGFBR2,TIE2_TEK,TLK2,TRKA,TRKB,TRKC,TSSK2,TXK,TYK1_LTK,TYK2,TYRO3_SKY,ULK1,ULK2,ULK3,VRK1,WEE1,WNK2,WNK3,YES_YES1,ZAK_MLTK,ZAP70,ZIPK_DAPK3,response
Lck Inhibitor (RK 24466) 0.5uM,67.44,84.82,2.7,100,99.66,98.16,80.6,95.94,95.43,93.88,96.12,52.97,87.04,99.13,76.51,88.55,95.04,100,1.52,10.11,85.42,0.77,99.72,98.33,4.56,21.64,87.4,100,13.4,100,96.25,50.26,95.82,100,100,99.49,95.03,100,99.11,86.32,93.69,100,100,91.27,92.61,100,100,92.63,100,98.2,97.19,96.75,100,100,100,76.65,84.91,85.09,22.27,90.82,93.72,99.55,100,74.75,100,95.22,96.94,98.03,83.3,3.4,89.97,79.14,87.56,99.52,95.05,100,96.28,99.12,92.23,96.51,94.9,91.65,91.53,100,100,96.25,87.47,100,63.56,98.35,95.15,94.46,90.47,93.44,98.29,100,11.93,100,80.71,93.88,88.12,94.86,77.38,77.99,77.48,97.95,2.93,76.91,4.48,50.82,61.32,6.25,3.51,89.45,97.78,92.21,100,100,92.58,100,100,99.21,94.55,2.18,98.8,100,100,100,100,100,99.71,100,97.43,100,100,98.53,81.87,87.1,100,100,100,100,99.98,87.39,75.01,80.17,1.12,95.73,100,73.08,86.16,3.49,5.13,100,100,98.68,94.12,86.37,89.82,85.2,93.03,100,83.82,71.17,100,100,99.25,98.38,92.35,100,82.56,92.89,100,94.9,100,100,90.47,100,95.74,77.8,97.73,99.97,95.18,100,100,79.31,87.09,88.49,98.44,92.13,100,94.65,96.58,96.87,93.51,76.28,100,95.32,97.58,100,100,95.99,100,98.35,100,100,88.25,98.5,100,65.02,73.38,100,91.15,96.94,92.36,100,98.7,100,100,100,92.78,100,99.63,96.05,92.56,96.05,100,96.21,89.4,100,100,91.47,100,96.42,100,100,100,100,92.5,100,100,96.73,71.31,9.97,28.63,100,100,90.5,94.03,100,94.16,96.94,100,96.65,100,95.39,100,100,96.49,96.84,14.15,100,93.38,90.72,100,100,92.27,99.28,84.81,100,92.29,84.57,100,92.87,92.72,8.33,100,94.33,100,94.34,87.04,67.87,92.09,17.32,86.34,98.49,100,100,100,100,84.83,77.84,100,85.25,0.66,70.34,100,100,100
LY 294002 0.5uM,99.18,98.15,88.67,95.74,94.01,100,92.35,91.87,91.21,100,97.54,100,92.48,96.24,98.96,99.62,97.03,100,100,96.95,95.88,96,100,96.18,94.46,92.89,95.17,100,96.32,96.68,98.36,47.9,93.8,91.13,100,100,90.48,100,100,83.26,91.95,100,100,93.03,89.6,100,96.18,86.74,100,97.88,100,95.35,95.85,100,100,93.72,100,100,100,100,94.42,92.39,64.84,93.91,100,100,100,89.1,98.24,88.11,84.61,90.08,100,97.6,91.35,99.37,93.55,97.31,96.82,90.83,100,91.93,91.63,100,100,98.74,99.21,100,86.97,100,100,95.86,99.84,94.58,99.46,100,100,100,70.28,100,99.91,96.6,96.57,95.83,95.85,100,97.55,85.41,95.63,96.4,98.27,100,100,87.77,100,99.77,96.49,91.56,93.02,100,93.54,96.92,93.45,98.26,93.51,100,100,100,100,100,100,100,100,100,100,95.96,97.73,93.35,100,95.15,100,100,100,87.08,87.23,92.15,100,98.58,100,97.13,96.88,94.55,99.42,100,100,94.09,100,79.18,95.4,91.43,88.81,96.79,100,93.38,91.33,94.55,97.51,97.77,100,100,90.12,100,100,100,100,88.45,99.48,100,95.49,87.81,100,97.07,97.18,100,100,86.71,100,89.82,100,95.07,100,92.13,100,99.84,100,87.65,96.19,93.34,100,100,94.94,97.81,100,100,92.75,100,100,90.19,100,94.65,100,100,90.13,97.22,66.82,100,88.54,98.27,100,97.46,95.98,100,95.99,100,99.05,94.22,99.48,98.33,92.47,100,100,93.77,100,100,100,100,98.61,67.12,98.92,71.94,100,100,82.31,99.25,89.87,100,100,95.21,100,98.44,97.35,98.09,92.4,100,100,97.05,100,96.82,100,95.12,100,100,98.16,97.48,100,100,92.12,100,78.45,99.75,85.39,86.43,100,88.19,94.08,100,100,89.17,83.2,95,100,95.89,91.39,93.6,87.8,100,100,100,100,100,85.41,76.45,100,89.21,100,94.2,100,96.47,88.32076
Masitinib 0.5uM,49.77,57.71,95.72,93.21,100,100,100,100,100,99.79,98.5,100,100,94.99,100,99.52,100,86.5,57.53,100,92.31,79.16,100,99.9,99.56,41.29,100,100,79.99,100,96.99,100,100,100,100,100,98.62,98.62,97.58,100,97.97,97.6,94.72,95.01,90.21,94.14,100,100,100,97.99,90.55,100,100,99.23,100,100,98.49,92.75,98.84,92.38,92.94,96.81,99.24,86.66,100,86.02,93.59,93.25,91.54,100,85.94,97.49,100,100,36.36,100,100,100,95.65,100,100,100,99.58,96.48,91.2,90.28,100,100,98.18,99.75,93.14,94.86,95.28,80.89,97.31,100,93.53,100,91.62,98.63,97.55,100,100,100,94.28,89.83,43.64,96.41,84.36,100,8.38,25.77,37.32,100,100,100,100,100,100,100,100,100,100,55.73,72.16,97.42,90.78,100,100,100,96.23,97.76,97.15,98.98,100,97.44,100,98.7,98.79,96.26,93.7,100,100,94.22,100,96.99,7.63,98.08,100,93.8,100,16.21,18.74,100,97.9,100,86.9,100,100,100,100,100,100,100,84.84,86.69,96.54,96.2,98.72,100,100,100,89.97,100,100,98.11,100,100,100,100,94.44,100,97.05,98.98,82.58,100,95.14,96.69,99.35,92.37,91.31,96.31,98.55,100,95.55,98.11,100,100,96.88,100,100,100,100,100,100,92.03,100,100,99.59,1.64,17.34,100,92.21,69.13,86.39,100,73.74,100,100,100,100,95.95,97.85,100,100,95.75,93.7,98.17,92.73,100,100,98.15,77.55,93.8,95.43,99.29,100,100,97.94,100,99.5,98.88,77.51,96.4,100,92.44,100,95.12,100,91.47,97.24,93.64,99.68,100,100,100,95.62,99.69,92.37,98.35,92.89,98.86,100,100,100,95.55,91.09,95.89,94.03,100,98.61,98.51,91.58,95.39,97.02,83.22,100,97.22,94.5,97.06,100,94.14,100,100,100,100,98.92,97.71,100,100,97.4,96.98,99.23,99.94,50.74,86.81,100,100,73.08636
Met Kinase Inhibitor (SU11274) 0.5uM,76.93,62.075,56.845,94.59,100,99.71,78.04,98.845,98.34,100,99.135,100,16.695,100,22.815,18.83,33.435,39.8,36.36,92.725,95.94,93.38,91.515,91.795,92.155,55.74,17.53,0.905,52.53,93.465,99.685,94.615,96.24,68.68,89.8,66.52,97.41,97.25,94.66,77.62,86.865,89.34,95.265,89.18,93.605,91.58,92.64,83.595,92.545,90.75,85.085,38.25,94.885,94.06,84.15,85.12,83.175,83.955,77.175,99.03,97.26,96.655,88.7,90.34,68.56,7.99,67.105,38.485,90.86,82.765,100,98.655,99.425,90.555,88.555,100,96.93,84.885,93.515,98.675,100,94.815,98.055,100,95.995,97.74,81.595,92.205,30.625,79.61,92.73,85.655,93.675,99.3,91.815,93.71,100,100,91.595,94.17,79.075,93.195,79.515,65.77,74.835,100,30.08,76.05,24.175,63.325,61.43,94.44,59.92,60.09,99.81,99.02,100,94.96,90.34,73.38,94.285,98.05,97.74,59.58,35.19,94.145,100,96.745,96.8,99.695,97.14,99.21,73.905,96.375,51.21,69.595,93.355,82.965,62.105,28.71,34.935,93.47,88.425,99.515,72.925,5.225,27.535,82.1,94.95,11.615,4.23,34.875,53.555,99.79,98.47,88.8,52.225,36.395,40.02,33.385,74.425,70.08,75.91,65.94,72.32,50.565,95.95,87.385,77.18,87.99,78.355,76.1,99.31,99.035,99.185,98.84,92.085,95.575,92.385,50.385,73.69,53.015,65.555,88.32,67.485,18.165,96.24,41.87,99.33,74.285,100,95.165,92.62,96.915,96.52,92.775,100,100,99.91,84.12,99.08,89.755,95.285,92.16,98.43,93.995,100,97.115,100,76.74,82.41,98.4,48.99,92.77,99.89,99.97,96.755,100,99.66,92.9,96.005,95.5,94.1,98.655,92.52,92.15,99.355,62.465,47.38,99.735,95.47,58.965,91.545,92.69,98.585,88.305,81.775,97.635,90.255,96.255,96.64,58.76,100,19.785,93.58,98.18,76.32,55.365,91.65,65.05,59.785,68.02,77.515,67.31,96.41,100,100,71.15,10.47,55.74,97.86,72.67,56.805,96.22,21.715,73.37,73.33,100,90.535,93.77,86.225,39.375,21.55,54.775,64.985,93.105,100,95.42,95.185,9.395,26.52,5.61,97.12,100,48.835,75.245,28.23,3.28,22.6,52.31,90.095,88.71,96.815,96.995,25.89,98.675,94.825,100,100
MGCD-265 0.5uM,13.78,28.84,0,98.36,100,98.39,80.83,81.19,99.45,100,95.09,85.37,100,100,24.6,28.19,71.4,2.34,5.13,11.58,96.45,6.73,100,100,36.03,33.29,1.74,3.48,7.38,100,97.85,98.21,99.33,100,95.87,99.84,100,97.59,85.1,71.64,92.2,96.07,99.86,98.16,100,100,99.57,97.71,100,96.84,98.4,100,100,96.2,99.31,87.22,100,100,99.01,96.35,100,100,95.24,98.04,100,99,99.34,89.69,100,58.56,100,94.99,100,100,4.05,100,99.18,100,97.78,100,97.76,100,98.07,59.2,50.93,52.02,64.41,53.39,15.29,18.61,55.28,67.45,47,98.76,39.06,100,90.36,100,99.9,100,23.14,25.16,84.31,66.71,84.98,96.65,4.31,57.36,5.45,41.76,12.64,32.63,27.94,75.35,99.81,100,100,92.82,100,100,99.45,98.09,99.69,4.28,9.54,100,98.69,100,47.35,98.23,96.39,99.86,87.25,85.01,94.35,98.87,86.47,62.99,100,99.43,100,96.18,97.7,100,25.25,3.65,1.6,50.48,100,47.36,61.81,9.5,15.62,96.43,98.92,100,95.39,99.47,100,94.84,62.42,49.73,88.8,99.22,99.3,4.36,100,100,83,20.12,82.93,33.52,86.7,29.74,98.73,100,100,93.35,98.27,93.69,100,90.28,96.53,96.67,56.35,100,100,97.85,100,100,100,100,100,96.65,95.13,96.85,100,98.43,100,92.27,99.91,100,99.87,100,100,100,100,98.64,98.61,7.55,14.26,99.5,97.22,98.13,99.12,99.58,100,97.24,100,98.31,97.66,99.36,99.04,99.48,100,91.25,98.59,94.44,98.09,100,99.28,96.51,98.64,96.03,98.54,98.5,99.18,97.86,100,98.45,99.96,93.98,79.36,15.49,94.45,96.92,93.78,97.38,39.03,30.53,100,100,97.99,98.19,100,100,95.55,98.04,32.98,97.52,68.89,100,100,100,97.05,100,100,98.14,93.6,59.79,88.7,97.08,100,97.4,91.01,78.3,100,34.56,100,14.01,15.7,19.24,100,31.37,78.37,95.44,9.74,100,100,92.19,100,100,59.87,85.12,14.4,50.56,96.46,100,45.58
NCGC00263020-01 0.5uM,7.08,9.1,0,98.39,97.82,100,77.9,53.42,27,84.03,83.45,76.89,25.71,77.25,87.89,100,94.78,91.88,56.06,91.69,72.51,17.85,73.82,55.88,83.89,81.4,91.51,85.73,69.7,95.39,98.58,85,97.66,54.46,60.08,54.39,86.99,98.94,64.25,6.93,41.19,40.51,7.5,3.11,16.91,72.85,88.04,24.81,27.55,62.54,92.75,92.32,79.62,35,88.52,70.65,28.41,16.42,26.99,81.33,72.56,82.88,4.18,24.22,3.2,26.57,86.5,68.43,100,85.14,99.65,93.86,100,94.65,92.88,100,31.41,1.54,1.55,3.17,27.92,77.83,93.17,93.58,93.19,93.81,94.48,94.35,84.79,96.26,96.61,89.14,95.86,82.26,90.03,94.29,93.01,94.48,96.77,91.95,72.28,72.4,77.97,40.29,90.21,77.39,65.9,36,1.91,2.74,46.54,69.1,51.52,7.46,93.45,94.27,100,100,99.83,89.88,26.15,45.05,71.22,43.78,1.47,86.74,99.81,88.03,40.51,93.38,100,97.74,14.59,95.75,4.39,7.5,96.22,100,91.56,84.02,83.87,19.65,47.22,100,13.4,15.37,52.1,40.05,42.31,51.41,0.63,29.44,68.34,89.63,98.81,98.38,69.61,50.77,51.34,58.58,63.69,74.56,91.17,91.8,54.63,4.62,57.29,85.24,86.43,35.88,74.26,17.95,30.48,6.46,99.89,100,94.7,100,100,23.68,22.23,10.83,22.04,19.62,0,76.32,81.69,100,100,73.76,99.38,100,100,67.03,85.39,94.09,90.56,43.4,48.87,86.36,100,74.98,90.01,84.26,96.13,85.84,99.05,79.28,54.31,43.83,27.17,96.87,58.86,88.31,91.02,100,87.45,96.04,100,94.06,100,98.15,90.24,93.4,95.69,98.98,94.63,46.39,47.78,96.7,98.68,56.1,89.63,97.1,97.48,89.18,91.48,71.26,36.6,72.33,81.1,92.19,91.3,66.2,18.05,97.49,87.44,82.36,96.79,11.45,84.51,78.17,78.37,81.71,99.04,91.73,100,37.84,80.35,48.66,90.89,100,100,100,27.06,8.49,32.48,93.24,76.75,87.6,24.37,2.45,8.36,19.61,20,96.11,43.84,97.88,100,96.32,92.75,86.09,90.74,78.02,59.65,40.81,100,71.11,89.68,96.8,93.01,85.99,92.76,78.25,67.57,74.35,95.84,93.39,69.84
Nilotinib (AMN-107) 0.5uM,3.54,4.86,82.57,99.67,100,74.76,100,100,100,100,99.92,77.26,100,100,78.92,100,87.18,64.77,87.58,99.83,11.5,70.41,97.97,100,100,55.17,96.37,95.77,95.19,100,100,87.65,100,96.09,94.97,90.05,100,100,91.1,97.52,99.72,97.83,95.46,98.93,95.23,96.99,100,91.66,100,97.13,100,100,97.9,94.74,90.91,100,100,89.3,100,100,97.31,100,100,100,73.84,91.41,100,45.5,95.15,42.42,79.21,100,100,100,1.77,98.11,98.93,100,92.76,100,91.43,100,86.91,63.22,10.82,40.82,12.03,22.56,46.95,86.38,28.4,10.56,1.55,5.59,11.44,100,82.08,100,100,100,93.63,95.91,99.59,96.54,100,99.35,63.71,99.22,77.39,91.72,17.53,16.19,100,100,95.77,95.08,89.22,98.64,100,99.81,99.44,93.71,66.51,46.65,100,97.73,92.1,99.8,100,88.44,98.73,82.83,94.6,100,93.29,80.18,100,100,100,100,94.24,92.1,95.9,100,91.99,100,22.22,94,100,100,81.08,52.91,50.73,94.21,100,91.52,100,100,93.83,100,100,93.21,100,100,90.03,100,96.31,93.28,100,100,100,100,100,100,88.53,99.6,95.64,100,100,100,93.86,100,100,91.15,85.05,74.97,100,100,95.86,100,93.57,95.48,98.53,100,100,23.25,15.28,90.74,96.86,97.97,100,100,94.15,100,88.95,97.7,100,100,100,18.08,28.39,84.63,91.03,97.89,97.41,98.13,97.77,98.63,100,83.54,92.89,96.3,100,96.94,100,81.68,100,99.73,89.42,75.38,87.02,88.68,90.31,97.07,100,100,95.96,97.02,100,100,100,94.55,100,70.51,100,100,100,97.1,94.02,99.37,100,100,97.15,98.95,100,100,100,100,100,100,100,98.08,100,93.43,77.65,97.53,87.14,98.05,96.33,100,89.16,78.53,85.23,95.88,100,88.25,100,100,87.82,91.42,85.41,67.69,73.5,100,100,99.29,96.46,100,100,100,100,99.02,100,100,66.12,17.76,95.07,96.96,97.48606
OSI-906 (Linsitinib) 0.5uM,100,96.6,97.39,100,100,96.41,93.03,91.92,100,100,98.91,100,93.44,97.77,98.11,88.1,100,100,88.21,96.88,98.63,70.63,99.02,95.97,99.78,95.09,90.25,81.49,92.36,100,97.41,100,100,99.31,92.45,99.47,97.88,94.73,100,100,96.25,93.69,96.19,97.83,100,100,100,100,99.25,100,99.56,100,95.05,96.51,100,96.85,100,98.88,79.04,100,95.98,100,100,98.52,100,100,100,100,94.08,91.27,100,99.31,98.64,100,86.19,100,99.69,100,100,100,94.36,100,97.18,97.82,100,98.62,100,98.76,100,100,99.21,99.77,100,100,100,89.23,82.84,97.4,100,97.96,96.39,99.02,95.08,93.71,96.39,99.29,90.44,95.21,96.84,94.69,93.24,100,98.04,63.71,99.1,100,100,100,100,99.81,100,100,97,94.99,93.82,95.03,100,100,95.65,1.62,91.19,99.47,96.89,1.41,98.19,97.75,1.6,100,100,100,96.93,100,93.38,100,90.6,7.65,78.63,94.84,100,99.8,100,87.26,93.11,94.56,100,100,94.23,99.74,100,98.94,91.08,81.74,96.69,90.71,100,97.15,94.78,98.51,99.66,100,82.83,100,96.54,99.92,91.62,96.75,91.49,95.11,100,98.07,100,78.18,88.92,95.61,96.5,73.55,49.94,100,100,89.85,98.11,99.1,96.37,100,95.34,97.28,99.03,100,100,100,97.23,100,97.8,98.99,100,100,100,94.46,100,100,97.34,98.65,98.93,95.27,97.52,100,100,98.61,95.76,95.04,100,95.6,97.31,100,100,94.13,94.04,99.37,100,99.15,96.78,98.62,95.41,97.03,95.54,100,96.86,100,100,98.45,98.39,95,96.77,83.62,100,100,89.3,95.24,98.91,100,97.96,100,99.08,100,97.46,99.56,99.72,100,100,94.21,100,100,100,95.55,96.26,78.6,96.68,100,100,100,96.85,98.58,100,98.87,100,98.51,94.5,98.09,100,99.54,95.65,93.35,100,97.33,100,94.54,93.58,93.7,98.05,100,95.94,99.88,64.89,73.25,77.81,98.91,100,96.64,81.96
PDGFR Tyrosine Kinase Inhibitor V 0.5uM,50.58,74.05,26.87,95.7,100,95.92,80.81,91.74,93.51,92.05,98.03,78.74,82.46,100,18.88,4.31,30.16,80.36,8.59,30.62,97.55,33.92,86.95,93.03,28.44,34.48,32.35,60.44,71.68,100,93.2,72.54,99.45,85.57,100,100,100,100,91.21,74.99,91.62,90.73,94.16,96.65,86.64,95.07,93.41,93.17,100,87.1,97.28,97.68,100,100,95.13,67.03,96.26,100,95.15,80.05,100,93.31,98.89,96.64,89.95,100,93.19,87.83,94.12,75.25,92.98,100,78.66,91.54,54.07,100,82.3,95.41,100,87.46,90.79,92.67,89.71,82.97,86.91,100,81.43,90.97,32.99,90.36,84.1,98.53,93.52,95.72,100,100,100,100,89.27,90.66,58.16,96.75,75.68,89.01,88.76,92.95,21.24,89.84,46.62,73.82,10.48,27.52,77.42,92.94,95.58,94.9,95.92,98.79,90.97,95.64,91.37,97.68,95.94,4.94,87.78,100,99.16,95.23,85.99,92.13,98.35,99.4,96.15,100,99.57,82.42,98.16,80.62,96.66,97.71,96.57,81.29,82.68,98.67,74.11,11.09,1.62,82.75,100,11.95,94.44,16.9,31.77,98.03,100,99.03,91.36,82.29,79.15,73.29,88.32,79.45,83.09,100,98.52,90.11,94.95,100,26.76,99.26,90.98,95.47,93.22,94.27,93.95,90.55,95.31,99.72,95.94,95.61,86.04,100,100,95.91,83.45,96.67,96.74,89.05,99.58,97.64,92.44,100,100,100,100,80.17,89.28,100,96.77,97.95,97.3,100,91.18,99.69,100,100,95.83,93.6,81.35,12.5,26.71,100,89.22,100,97.63,100,98.22,91.76,100,91.29,91.93,100,90.45,99.72,95.08,100,99.86,100,97.76,100,96.86,86.76,91.63,100,90.5,99.18,100,97.86,99.49,92.12,100,93.41,97.04,86.72,89.25,100,90.48,92.47,88.77,26.67,97.32,86.88,91.12,92.97,100,97.31,98.32,97.76,6.2,100,100,98.05,93.39,100,83.58,100,94.58,100,91.45,95.48,95.64,71.35,91.88,87.92,100,90.82,96.75,90.1,85.29,82.52,100,86.08,86.73,66.94,86.13,88.51,92.23,95.02,88.85,86.76,96.31,89.61,94.07,100,23.85,71.75,96.95,75.45,100
PDK1/Akt/Flt Dual Pathway Inhibitor 0.5uM,89.75,89.72,44.94,79.72,55.76,81.23,83.46,100,93.07,100,100,100,89.81,100,71.37,84.73,95.42,10.31,100,79.03,84.9,100,84.77,66.74,90.55,22.16,93.13,83.28,80.4,68.72,83.38,93.94,28.49,84.71,85.15,93,91.13,85.38,74.94,76.86,48.87,47.97,70.33,80.62,73.35,59.91,68.11,46.42,79.1,59.64,9.93,94.07,74.44,96.96,100,54.72,85.8,86.84,80.56,85.15,82.19,80.34,100,76.2,79.43,92.11,81.21,78.26,75.89,84.76,99.68,92.17,83.39,86.48,58.71,84.81,83.76,95.05,81.04,100,88.62,88.52,36.99,73.05,100,81.64,61.06,81.54,100,81.95,92.57,89.47,86.1,90.17,97.09,22.24,50.2,86.96,87.51,87.03,89.09,87.55,24.22,59.36,26.7,57.97,79.76,3.06,100,5.79,11.63,33.88,76.23,79.4,100,100,68.41,74.28,57.97,78.09,88.72,83.49,79.2,83.96,89.01,99.29,100,100,97.9,91.14,71.99,73.35,89.18,32.26,77.56,96.9,86.7,71.48,100,82.55,90.38,78.33,51.94,55,1.95,78.69,70.48,64.99,99.09,84.33,85.55,85.17,40.14,100,76.03,66.86,98.16,94.22,78.06,88.09,88.68,94.69,82.96,100,55.73,91.22,85.66,94.12,88.14,63.33,94.65,68.99,79.34,78.25,91.6,82.64,68.68,72.22,89.39,87.83,97.45,100,91.75,100,88.38,46.3,87.97,77.71,100,96.08,96.28,83.56,100,98.16,83.01,88.61,100,95.57,92.53,85.77,86.31,96.13,96.25,97.12,91.38,93.4,100,73.39,64.47,44.11,11.35,79.01,92.46,96.12,94.08,92.78,93.34,76.62,88.55,91.4,83.1,29.29,100,99.04,49.23,59.32,85.7,86.5,83.44,83.03,99.13,91.69,100,100,100,97.53,77.06,28.6,37.27,28.53,94.3,52.06,76.07,100,100,81.53,94.52,81.7,93.63,91.12,53.07,75.05,89.1,62.34,67.19,75.08,90.42,100,92.42,92.54,6.34,100,95.77,80.54,88.74,100,100,46.64,89.2,94.76,89.85,90.22,91.93,90.85,87,2.44,93.37,4.27,100,76.65,29.41,87.2,74.99,90.82,100,77.21,33.29,100,100,100,90.53,70.86,100,100,89.15,69.78,68.23,96.2,58.02106
PF-477736 0.5uM,11.64,34.96,40.19,46.58,74.61,27.09,40.73,76.48,100,93.52,96.55,21.76,3.08,92.24,1.82,4,4.57,10.66,5.41,18.86,65.04,40.29,17.82,20.91,19.01,51.7,20.94,82.13,4.01,34.18,81.58,10.18,81.2,5.44,36.03,17.17,76.1,88.12,91.47,85.71,90.92,90.55,77,88.04,96.01,91.88,97.25,83.4,89.55,98.1,100,94.09,100,94.11,2.2,2.11,93.93,100,97.96,88.91,90.6,91.46,64.67,82.03,71.84,97.72,96.59,63.52,80.63,20.67,96.69,19.75,44.38,79.4,71.02,100,6.51,70.7,82.95,31,53.36,93.17,78.37,84.05,52.98,81.77,64.32,66.9,47.47,60.43,80.52,18.19,65.09,77.26,42.21,83.17,83.28,71.15,70.32,92.44,49.53,83.72,9.69,8.25,13.7,18.99,6.12,15.52,1.12,3.96,3.47,84.97,2.73,20.98,69.68,60.82,93.74,93.48,96.84,89.37,44.7,63.18,97.32,6.31,16.93,71.99,99.03,82.68,68.88,91.58,100,93.92,9.96,83.37,76.5,28.23,74.66,33.9,24.33,11.56,20.29,96.31,99.73,100,15.78,8.06,12.84,4.99,49.87,62.57,27.49,3.61,12.72,98.29,96.35,93.2,6.85,2.27,3.66,4.38,84,70.23,64.23,52.83,62.64,19.01,92.68,79.51,39.26,4.54,28.93,9.88,9.53,14.91,99.4,94.65,53.04,19.81,87.34,43.08,65.79,54.65,33.42,61.96,99.68,3.77,72.59,50.71,67.02,71.62,93.57,100,35.57,91.05,96.18,92.21,98.11,100,100,9.15,66.01,75.83,89.23,78.8,24.68,21.33,39.17,85.65,93.2,1.9,4.65,8.77,31.22,77.56,64.7,100,43.56,35.06,86.15,84.66,88.49,52.36,72.81,64.81,75.63,82.54,82.39,74.13,67.81,79.67,89.19,69.64,37.5,44.51,55.13,42.12,55.68,97.95,82.16,90.62,2.75,88.09,73.1,1.02,53.32,100,76.2,66.53,89,22.67,17.81,14.14,6.91,13.53,44.63,35.76,89.27,2.26,78.86,26.61,100,100,100,66.83,18.44,44.39,55.98,73.55,82.25,59,97.05,91.18,99.13,82.14,40.12,37.01,44.34,89.48,91.44,78.96,38.05,11.06,88.91,41.03,77.34,30.11,34.15,64.23,59.66,46.3,91.8,92.48,93.97,85.23,1.92,73.91,90.4,14.7,56.16
